OBJECTID,ROW_TYPE,GEOGRAPHY,GEOGRAPHY_ID,CALENDAR_YEAR,CALENDAR_MONTH,OFFENSE_DESCRIPTION,OFFENSE_COUNT
60,CMPD Jurisdiction,CMPD,0,2019,01,Homicide,9
61,CMPD Jurisdiction,CMPD,0,2019,02,"Aggravated Assault-Fists,Feet, etc.",8
62,CMPD Jurisdiction,CMPD,0,2019,02,Aggravated Assault-Knife,43
63,CMPD Jurisdiction,CMPD,0,2019,03,Homicide,8
64,CMPD Jurisdiction,CMPD,0,2019,04,Aggravated Assault-Gun,316
65,CMPD Jurisdiction,CMPD,0,2019,07,Rape,31
66,CMPD Jurisdiction,CMPD,0,2019,06,Aggravated Assault-Other Weapon,80
67,CMPD Jurisdiction,CMPD,0,2019,08,Aggravated Assault-Other Weapon,80
68,CMPD Jurisdiction,CMPD,0,2019,09,Aggravated Assault-Other Weapon,62
69,CMPD Jurisdiction,CMPD,0,2019,08,"Aggravated Assault-Fists,Feet, etc.",11
70,CMPD Jurisdiction,CMPD,0,2020,01,Armed Robbery,133
71,CMPD Jurisdiction,CMPD,0,2020,02,Armed Robbery,97
72,CMPD Jurisdiction,CMPD,0,2020,01,"Aggravated Assault-Fists,Feet, etc.",10
73,CMPD Jurisdiction,CMPD,0,2020,05,Aggravated Assault-Knife,33
74,CMPD Jurisdiction,CMPD,0,2020,05,Armed Robbery,82
75,CMPD Jurisdiction,CMPD,0,2020,05,Rape,13
76,CMPD Jurisdiction,CMPD,0,2020,06,Aggravated Assault-Other Weapon,64
77,CMPD Jurisdiction,CMPD,0,2020,06,Attempted Rape,2
78,CMPD Jurisdiction,CMPD,0,2020,08,Aggravated Assault-Knife,52
79,CMPD Jurisdiction,CMPD,0,2020,07,Strong Arm Robbery,45
80,CMPD Jurisdiction,CMPD,0,2020,07,Armed Robbery,105
81,CMPD Jurisdiction,CMPD,0,2020,07,Rape,26
82,CMPD Jurisdiction,CMPD,0,2020,07,Attempted Rape,1
83,CMPD Jurisdiction,CMPD,0,2020,10,"Aggravated Assault-Fists,Feet, etc.",14
84,CMPD Jurisdiction,CMPD,0,2020,11,Strong Arm Robbery,41
85,CMPD Jurisdiction,CMPD,0,2020,12,Rape,18
86,CMPD Jurisdiction,CMPD,0,2021,01,"Aggravated Assault-Fists,Feet, etc.",8
87,CMPD Jurisdiction,CMPD,0,2021,03,Aggravated Assault-Other Weapon,59
88,CMPD Jurisdiction,CMPD,0,2021,03,Rape,28
89,CMPD Jurisdiction,CMPD,0,2021,04,Aggravated Assault-Other Weapon,61
90,CMPD Jurisdiction,CMPD,0,2021,05,Rape,32
91,CMPD Jurisdiction,CMPD,0,2021,06,Aggravated Assault-Gun,464
92,CMPD Jurisdiction,CMPD,0,2021,07,Aggravated Assault-Other Weapon,76
93,CMPD Jurisdiction,CMPD,0,2021,10,Aggravated Assault-Other Weapon,65
94,CMPD Jurisdiction,CMPD,0,2021,12,Armed Robbery,87
95,CMPD Jurisdiction,CMPD,0,2022,01,Aggravated Assault-Knife,40
96,CMPD Jurisdiction,CMPD,0,2021,12,Aggravated Assault-Other Weapon,48
97,CMPD Jurisdiction,CMPD,0,2022,01,Aggravated Assault-Gun,329
98,CMPD Jurisdiction,CMPD,0,2021,08,Aggravated Assault-Knife,51
99,CMPD Jurisdiction,CMPD,0,2022,01,Attempted Rape,1
100,CMPD Jurisdiction,CMPD,0,2015,01,"Aggravated Assault-Fists,Feet, etc.",11
101,CMPD Jurisdiction,CMPD,0,2015,01,Armed Robbery,99
102,CMPD Jurisdiction,CMPD,0,2015,04,Aggravated Assault-Other Weapon,57
103,CMPD Jurisdiction,CMPD,0,2015,04,Strong Arm Robbery,42
104,CMPD Jurisdiction,CMPD,0,2015,06,Aggravated Assault-Other Weapon,63
105,CMPD Jurisdiction,CMPD,0,2015,09,Aggravated Assault-Knife,44
106,CMPD Jurisdiction,CMPD,0,2015,10,Homicide,7
107,CMPD Jurisdiction,CMPD,0,2015,11,Armed Robbery,149
108,CMPD Jurisdiction,CMPD,0,2015,11,Strong Arm Robbery,44
109,CMPD Jurisdiction,CMPD,0,2015,10,Rape,19
110,CMPD Jurisdiction,CMPD,0,2016,01,Strong Arm Robbery,27
111,CMPD Jurisdiction,CMPD,0,2016,02,"Aggravated Assault-Fists,Feet, etc.",8
112,CMPD Jurisdiction,CMPD,0,2016,02,Aggravated Assault-Other Weapon,53
113,CMPD Jurisdiction,CMPD,0,2016,02,Rape,24
114,CMPD Jurisdiction,CMPD,0,2016,02,Aggravated Assault-Knife,40
115,CMPD Jurisdiction,CMPD,0,2016,03,Homicide,8
116,CMPD Jurisdiction,CMPD,0,2016,04,Homicide,2
117,CMPD Jurisdiction,CMPD,0,2016,07,Aggravated Assault-Knife,63
118,CMPD Jurisdiction,CMPD,0,2016,06,"Aggravated Assault-Fists,Feet, etc.",11
119,CMPD Jurisdiction,CMPD,0,2016,08,Rape,23
120,CMPD Jurisdiction,CMPD,0,2016,08,Homicide,5
121,CMPD Jurisdiction,CMPD,0,2016,06,Attempted Rape,1
122,CMPD Jurisdiction,CMPD,0,2016,09,Aggravated Assault-Gun,207
123,CMPD Jurisdiction,CMPD,0,2016,10,Strong Arm Robbery,58
124,CMPD Jurisdiction,CMPD,0,2016,10,Attempted Rape,2
125,CMPD Jurisdiction,CMPD,0,2016,11,Aggravated Assault-Knife,54
126,CMPD Jurisdiction,CMPD,0,2016,12,Strong Arm Robbery,62
127,CMPD Jurisdiction,CMPD,0,2017,01,Armed Robbery,150
128,CMPD Jurisdiction,CMPD,0,2017,01,"Aggravated Assault-Fists,Feet, etc.",13
129,CMPD Jurisdiction,CMPD,0,2016,11,Attempted Rape,1
130,CMPD Jurisdiction,CMPD,0,2017,04,Aggravated Assault-Gun,165
131,CMPD Jurisdiction,CMPD,0,2017,05,Homicide,7
132,CMPD Jurisdiction,CMPD,0,2017,06,Attempted Rape,4
133,CMPD Jurisdiction,CMPD,0,2017,05,"Aggravated Assault-Fists,Feet, etc.",6
134,CMPD Jurisdiction,CMPD,0,2017,06,"Aggravated Assault-Fists,Feet, etc.",10
135,CMPD Jurisdiction,CMPD,0,2017,05,Attempted Rape,3
136,CMPD Jurisdiction,CMPD,0,2017,08,Aggravated Assault-Gun,248
137,CMPD Jurisdiction,CMPD,0,2017,07,Aggravated Assault-Gun,259
138,CMPD Jurisdiction,CMPD,0,2017,11,Strong Arm Robbery,44
139,CMPD Jurisdiction,CMPD,0,2017,12,Rape,29
140,CMPD Jurisdiction,CMPD,0,2018,01,Aggravated Assault-Knife,44
141,CMPD Jurisdiction,CMPD,0,2018,02,Aggravated Assault-Knife,37
142,CMPD Jurisdiction,CMPD,0,2018,02,Armed Robbery,97
143,CMPD Jurisdiction,CMPD,0,2018,02,Homicide,2
144,CMPD Jurisdiction,CMPD,0,2018,07,Strong Arm Robbery,59
145,CMPD Jurisdiction,CMPD,0,2018,06,Aggravated Assault-Knife,42
146,CMPD Jurisdiction,CMPD,0,2018,09,Aggravated Assault-Gun,293
147,CMPD Jurisdiction,CMPD,0,2018,08,Armed Robbery,108
148,CMPD Jurisdiction,CMPD,0,2018,09,Aggravated Assault-Other Weapon,95
149,CMPD Jurisdiction,CMPD,0,2018,09,Rape,26
150,CMPD Jurisdiction,CMPD,0,2018,12,Aggravated Assault-Knife,43
151,CMPD Jurisdiction,CMPD,0,2018,10,Armed Robbery,87
152,CMPD Jurisdiction,CMPD,0,2018,10,Aggravated Assault-Knife,31
153,CMPD Jurisdiction,CMPD,0,2018,11,"Aggravated Assault-Fists,Feet, etc.",16
154,CMPD Jurisdiction,CMPD,0,2018,10,Homicide,5
155,CMPD Jurisdiction,CMPD,0,2018,12,"Aggravated Assault-Fists,Feet, etc.",21
156,CMPD Jurisdiction,CMPD,0,2018,12,Homicide,5
157,CMPD Jurisdiction,CMPD,0,2019,03,Rape,19
158,CMPD Jurisdiction,CMPD,0,2019,03,Aggravated Assault-Knife,51
159,CMPD Jurisdiction,CMPD,0,2019,02,Aggravated Assault-Other Weapon,58
160,CMPD Jurisdiction,CMPD,0,2019,03,Attempted Rape,2
161,CMPD Jurisdiction,CMPD,0,2019,05,Homicide,7
162,CMPD Jurisdiction,CMPD,0,2019,05,"Aggravated Assault-Fists,Feet, etc.",13
163,CMPD Jurisdiction,CMPD,0,2019,04,Aggravated Assault-Other Weapon,62
164,CMPD Jurisdiction,CMPD,0,2019,04,Homicide,12
165,CMPD Jurisdiction,CMPD,0,2019,06,Armed Robbery,125
166,CMPD Jurisdiction,CMPD,0,2019,06,"Aggravated Assault-Fists,Feet, etc.",13
167,CMPD Jurisdiction,CMPD,0,2019,12,Rape,23
168,CMPD Jurisdiction,CMPD,0,2020,02,Aggravated Assault-Other Weapon,59
169,CMPD Jurisdiction,CMPD,0,2020,03,"Aggravated Assault-Fists,Feet, etc.",6
170,CMPD Jurisdiction,CMPD,0,2020,09,Aggravated Assault-Gun,477
171,CMPD Jurisdiction,CMPD,0,2020,09,Armed Robbery,82
172,CMPD Jurisdiction,CMPD,0,2020,09,Strong Arm Robbery,57
173,CMPD Jurisdiction,CMPD,0,2020,11,Armed Robbery,104
174,CMPD Jurisdiction,CMPD,0,2021,01,Aggravated Assault-Knife,44
175,CMPD Jurisdiction,CMPD,0,2020,12,Armed Robbery,118
176,CMPD Jurisdiction,CMPD,0,2021,02,Aggravated Assault-Gun,307
177,CMPD Jurisdiction,CMPD,0,2021,02,Strong Arm Robbery,39
178,CMPD Jurisdiction,CMPD,0,2020,12,Attempted Rape,3
179,CMPD Jurisdiction,CMPD,0,2021,04,Aggravated Assault-Gun,393
180,CMPD Jurisdiction,CMPD,0,2021,03,Aggravated Assault-Knife,44
181,CMPD Jurisdiction,CMPD,0,2021,04,Homicide,11
182,CMPD Jurisdiction,CMPD,0,2021,05,Aggravated Assault-Knife,54
183,CMPD Jurisdiction,CMPD,0,2021,05,Strong Arm Robbery,38
184,CMPD Jurisdiction,CMPD,0,2021,06,Strong Arm Robbery,47
185,CMPD Jurisdiction,CMPD,0,2021,07,Armed Robbery,81
186,CMPD Jurisdiction,CMPD,0,2021,06,Rape,22
187,CMPD Jurisdiction,CMPD,0,2021,10,Rape,33
188,CMPD Jurisdiction,CMPD,0,2022,03,Aggravated Assault-Other Weapon,51
189,CMPD Jurisdiction,CMPD,0,2021,08,Strong Arm Robbery,31
190,CMPD Jurisdiction,CMPD,0,2021,08,"Aggravated Assault-Fists,Feet, etc.",13
191,CMPD Jurisdiction,CMPD,0,2021,10,Attempted Rape,1
192,CMPD Jurisdiction,CMPD,0,2015,01,Strong Arm Robbery,34
193,CMPD Jurisdiction,CMPD,0,2015,02,Aggravated Assault-Knife,40
194,CMPD Jurisdiction,CMPD,0,2015,05,Aggravated Assault-Gun,174
195,CMPD Jurisdiction,CMPD,0,2015,03,Attempted Rape,3
196,CMPD Jurisdiction,CMPD,0,2015,05,"Aggravated Assault-Fists,Feet, etc.",10
197,CMPD Jurisdiction,CMPD,0,2015,07,Armed Robbery,138
198,CMPD Jurisdiction,CMPD,0,2015,09,Strong Arm Robbery,52
199,CMPD Jurisdiction,CMPD,0,2015,08,Strong Arm Robbery,46
200,CMPD Jurisdiction,CMPD,0,2015,09,Attempted Rape,1
201,CMPD Jurisdiction,CMPD,0,2015,11,Aggravated Assault-Gun,201
202,CMPD Jurisdiction,CMPD,0,2015,12,Aggravated Assault-Other Weapon,64
203,CMPD Jurisdiction,CMPD,0,2015,12,Aggravated Assault-Gun,182
204,CMPD Jurisdiction,CMPD,0,2015,12,Rape,20
205,CMPD Jurisdiction,CMPD,0,2015,12,"Aggravated Assault-Fists,Feet, etc.",7
206,CMPD Jurisdiction,CMPD,0,2016,01,Aggravated Assault-Gun,221
207,CMPD Jurisdiction,CMPD,0,2016,03,Armed Robbery,126
208,CMPD Jurisdiction,CMPD,0,2016,03,Attempted Rape,1
209,CMPD Jurisdiction,CMPD,0,2016,04,Aggravated Assault-Gun,201
210,CMPD Jurisdiction,CMPD,0,2016,04,Strong Arm Robbery,42
211,CMPD Jurisdiction,CMPD,0,2016,05,"Aggravated Assault-Fists,Feet, etc.",14
212,CMPD Jurisdiction,CMPD,0,2016,04,Armed Robbery,92
213,CMPD Jurisdiction,CMPD,0,2016,04,Aggravated Assault-Other Weapon,58
214,CMPD Jurisdiction,CMPD,0,2016,06,Aggravated Assault-Other Weapon,78
215,CMPD Jurisdiction,CMPD,0,2016,08,Armed Robbery,132
216,CMPD Jurisdiction,CMPD,0,2016,07,Strong Arm Robbery,52
217,CMPD Jurisdiction,CMPD,0,2016,07,Attempted Rape,1
218,CMPD Jurisdiction,CMPD,0,2016,10,Armed Robbery,152
219,CMPD Jurisdiction,CMPD,0,2016,09,Homicide,6
220,CMPD Jurisdiction,CMPD,0,2016,10,"Aggravated Assault-Fists,Feet, etc.",11
221,CMPD Jurisdiction,CMPD,0,2016,11,Rape,29
222,CMPD Jurisdiction,CMPD,0,2016,12,Armed Robbery,192
223,CMPD Jurisdiction,CMPD,0,2016,12,Aggravated Assault-Gun,218
224,CMPD Jurisdiction,CMPD,0,2016,11,Aggravated Assault-Other Weapon,48
225,CMPD Jurisdiction,CMPD,0,2016,11,Strong Arm Robbery,45
226,CMPD Jurisdiction,CMPD,0,2016,12,Rape,18
227,CMPD Jurisdiction,CMPD,0,2017,01,Rape,34
228,CMPD Jurisdiction,CMPD,0,2017,01,Homicide,9
229,CMPD Jurisdiction,CMPD,0,2017,04,Strong Arm Robbery,29
230,CMPD Jurisdiction,CMPD,0,2017,08,Aggravated Assault-Knife,45
231,CMPD Jurisdiction,CMPD,0,2017,07,Aggravated Assault-Knife,52
232,CMPD Jurisdiction,CMPD,0,2017,07,Rape,19
233,CMPD Jurisdiction,CMPD,0,2017,10,Aggravated Assault-Knife,54
234,CMPD Jurisdiction,CMPD,0,2017,09,Homicide,8
235,CMPD Jurisdiction,CMPD,0,2017,10,"Aggravated Assault-Fists,Feet, etc.",12
236,CMPD Jurisdiction,CMPD,0,2017,12,Aggravated Assault-Gun,175
237,CMPD Jurisdiction,CMPD,0,2017,12,"Aggravated Assault-Fists,Feet, etc.",10
238,CMPD Jurisdiction,CMPD,0,2018,01,Rape,19
239,CMPD Jurisdiction,CMPD,0,2018,02,Aggravated Assault-Gun,176
240,CMPD Jurisdiction,CMPD,0,2018,02,Strong Arm Robbery,29
241,CMPD Jurisdiction,CMPD,0,2018,02,Aggravated Assault-Other Weapon,48
242,CMPD Jurisdiction,CMPD,0,2018,03,Armed Robbery,90
243,CMPD Jurisdiction,CMPD,0,2018,03,Rape,28
244,CMPD Jurisdiction,CMPD,0,2018,04,Rape,18
245,CMPD Jurisdiction,CMPD,0,2018,05,Aggravated Assault-Gun,229
246,CMPD Jurisdiction,CMPD,0,2018,07,Aggravated Assault-Knife,42
247,CMPD Jurisdiction,CMPD,0,2018,06,Homicide,6
248,CMPD Jurisdiction,CMPD,0,2018,12,Aggravated Assault-Other Weapon,42
249,CMPD Jurisdiction,CMPD,0,2018,10,Strong Arm Robbery,46
250,CMPD Jurisdiction,CMPD,0,2018,12,Aggravated Assault-Gun,188
251,CMPD Jurisdiction,CMPD,0,2019,01,Armed Robbery,130
252,CMPD Jurisdiction,CMPD,0,2019,01,Aggravated Assault-Knife,49
253,CMPD Jurisdiction,CMPD,0,2019,02,Attempted Rape,4
254,CMPD Jurisdiction,CMPD,0,2019,05,Armed Robbery,115
255,CMPD Jurisdiction,CMPD,0,2019,07,Aggravated Assault-Other Weapon,66
256,CMPD Jurisdiction,CMPD,0,2019,06,Attempted Rape,3
257,CMPD Jurisdiction,CMPD,0,2019,08,Rape,24
258,CMPD Jurisdiction,CMPD,0,2019,08,Homicide,6
259,CMPD Jurisdiction,CMPD,0,2019,09,Strong Arm Robbery,65
260,CMPD Jurisdiction,CMPD,0,2019,09,Rape,25
261,CMPD Jurisdiction,CMPD,0,2019,10,Armed Robbery,118
262,CMPD Jurisdiction,CMPD,0,2019,10,"Aggravated Assault-Fists,Feet, etc.",10
263,CMPD Jurisdiction,CMPD,0,2019,11,Strong Arm Robbery,36
264,CMPD Jurisdiction,CMPD,0,2019,12,Aggravated Assault-Other Weapon,59
265,CMPD Jurisdiction,CMPD,0,2019,12,Aggravated Assault-Knife,42
266,CMPD Jurisdiction,CMPD,0,2020,01,Aggravated Assault-Gun,209
267,CMPD Jurisdiction,CMPD,0,2020,03,Strong Arm Robbery,60
268,CMPD Jurisdiction,CMPD,0,2020,03,Aggravated Assault-Knife,63
269,CMPD Jurisdiction,CMPD,0,2020,04,Aggravated Assault-Gun,292
270,CMPD Jurisdiction,CMPD,0,2020,05,"Aggravated Assault-Fists,Feet, etc.",10
271,CMPD Jurisdiction,CMPD,0,2020,06,Rape,16
272,CMPD Jurisdiction,CMPD,0,2020,07,"Aggravated Assault-Fists,Feet, etc.",12
273,CMPD Jurisdiction,CMPD,0,2020,09,Aggravated Assault-Knife,45
274,CMPD Jurisdiction,CMPD,0,2020,10,Aggravated Assault-Gun,374
275,CMPD Jurisdiction,CMPD,0,2020,10,Strong Arm Robbery,57
276,CMPD Jurisdiction,CMPD,0,2020,11,Aggravated Assault-Knife,54
277,CMPD Jurisdiction,CMPD,0,2020,11,"Aggravated Assault-Fists,Feet, etc.",7
278,CMPD Jurisdiction,CMPD,0,2020,11,Homicide,8
279,CMPD Jurisdiction,CMPD,0,2021,01,Aggravated Assault-Gun,343
280,CMPD Jurisdiction,CMPD,0,2020,12,Aggravated Assault-Gun,428
281,CMPD Jurisdiction,CMPD,0,2020,12,"Aggravated Assault-Fists,Feet, etc.",8
282,CMPD Jurisdiction,CMPD,0,2021,01,Rape,30
283,CMPD Jurisdiction,CMPD,0,2021,02,"Aggravated Assault-Fists,Feet, etc.",9
284,CMPD Jurisdiction,CMPD,0,2021,04,Armed Robbery,49
285,CMPD Jurisdiction,CMPD,0,2022,03,Strong Arm Robbery,35
286,CMPD Jurisdiction,CMPD,0,2021,11,Rape,28
287,CMPD Jurisdiction,CMPD,0,2021,09,Armed Robbery,71
288,CMPD Jurisdiction,CMPD,0,2021,09,Aggravated Assault-Knife,42
289,CMPD Jurisdiction,CMPD,0,2021,12,Aggravated Assault-Gun,306
290,CMPD Jurisdiction,CMPD,0,2022,03,"Aggravated Assault-Fists,Feet, etc.",7
291,CMPD Jurisdiction,CMPD,0,2021,12,Aggravated Assault-Knife,30
292,CMPD Jurisdiction,CMPD,0,2022,02,Rape,19
293,CMPD Jurisdiction,CMPD,0,2022,03,Homicide,8
294,CMPD Jurisdiction,CMPD,0,2015,01,Aggravated Assault-Knife,41
295,CMPD Jurisdiction,CMPD,0,2015,02,Strong Arm Robbery,25
296,CMPD Jurisdiction,CMPD,0,2015,02,Aggravated Assault-Other Weapon,46
297,CMPD Jurisdiction,CMPD,0,2015,02,"Aggravated Assault-Fists,Feet, etc.",3
298,CMPD Jurisdiction,CMPD,0,2015,05,Aggravated Assault-Knife,71
299,CMPD Jurisdiction,CMPD,0,2015,04,Attempted Rape,2
300,CMPD Jurisdiction,CMPD,0,2015,06,Aggravated Assault-Knife,66
301,CMPD Jurisdiction,CMPD,0,2015,06,"Aggravated Assault-Fists,Feet, etc.",15
302,CMPD Jurisdiction,CMPD,0,2015,06,Armed Robbery,78
303,CMPD Jurisdiction,CMPD,0,2015,07,Strong Arm Robbery,37
304,CMPD Jurisdiction,CMPD,0,2015,06,Homicide,4
305,CMPD Jurisdiction,CMPD,0,2015,08,Aggravated Assault-Knife,51
306,CMPD Jurisdiction,CMPD,0,2015,08,Aggravated Assault-Other Weapon,58
307,CMPD Jurisdiction,CMPD,0,2015,08,Aggravated Assault-Gun,292
308,CMPD Jurisdiction,CMPD,0,2015,08,"Aggravated Assault-Fists,Feet, etc.",8
309,CMPD Jurisdiction,CMPD,0,2015,09,Rape,13
310,CMPD Jurisdiction,CMPD,0,2015,10,"Aggravated Assault-Fists,Feet, etc.",11
311,CMPD Jurisdiction,CMPD,0,2015,08,Attempted Rape,1
312,CMPD Jurisdiction,CMPD,0,2016,03,Aggravated Assault-Gun,279
313,CMPD Jurisdiction,CMPD,0,2016,01,Homicide,2
314,CMPD Jurisdiction,CMPD,0,2016,05,Strong Arm Robbery,61
315,CMPD Jurisdiction,CMPD,0,2016,04,"Aggravated Assault-Fists,Feet, etc.",12
316,CMPD Jurisdiction,CMPD,0,2016,07,Aggravated Assault-Gun,268
317,CMPD Jurisdiction,CMPD,0,2016,06,Rape,19
318,CMPD Jurisdiction,CMPD,0,2016,08,Aggravated Assault-Knife,49
319,CMPD Jurisdiction,CMPD,0,2016,08,Aggravated Assault-Other Weapon,63
320,CMPD Jurisdiction,CMPD,0,2016,07,Homicide,9
321,CMPD Jurisdiction,CMPD,0,2016,10,Aggravated Assault-Knife,42
322,CMPD Jurisdiction,CMPD,0,2017,02,Aggravated Assault-Gun,246
323,CMPD Jurisdiction,CMPD,0,2017,02,Aggravated Assault-Other Weapon,47
324,CMPD Jurisdiction,CMPD,0,2017,03,Rape,18
325,CMPD Jurisdiction,CMPD,0,2017,05,Armed Robbery,112
326,CMPD Jurisdiction,CMPD,0,2017,05,Rape,32
327,CMPD Jurisdiction,CMPD,0,2017,04,Attempted Rape,5
328,CMPD Jurisdiction,CMPD,0,2017,04,Homicide,7
329,CMPD Jurisdiction,CMPD,0,2017,07,Armed Robbery,139
330,CMPD Jurisdiction,CMPD,0,2017,07,Strong Arm Robbery,49
331,CMPD Jurisdiction,CMPD,0,2017,09,Aggravated Assault-Gun,181
332,CMPD Jurisdiction,CMPD,0,2017,09,"Aggravated Assault-Fists,Feet, etc.",13
333,CMPD Jurisdiction,CMPD,0,2017,10,Attempted Rape,2
334,CMPD Jurisdiction,CMPD,0,2018,01,Armed Robbery,129
335,CMPD Jurisdiction,CMPD,0,2018,02,"Aggravated Assault-Fists,Feet, etc.",11
336,CMPD Jurisdiction,CMPD,0,2018,04,Armed Robbery,75
337,CMPD Jurisdiction,CMPD,0,2018,04,Strong Arm Robbery,35
338,CMPD Jurisdiction,CMPD,0,2018,04,Aggravated Assault-Gun,177
339,CMPD Jurisdiction,CMPD,0,2018,06,Attempted Rape,1
340,CMPD Jurisdiction,CMPD,0,2018,08,Aggravated Assault-Knife,58
341,CMPD Jurisdiction,CMPD,0,2018,10,Attempted Rape,3
342,CMPD Jurisdiction,CMPD,0,2018,11,Homicide,5
343,CMPD Jurisdiction,CMPD,0,2018,11,Attempted Rape,2
344,CMPD Jurisdiction,CMPD,0,2019,02,Strong Arm Robbery,47
345,CMPD Jurisdiction,CMPD,0,2019,03,Strong Arm Robbery,49
346,CMPD Jurisdiction,CMPD,0,2019,03,Aggravated Assault-Other Weapon,54
347,CMPD Jurisdiction,CMPD,0,2019,01,Aggravated Assault-Other Weapon,49
348,CMPD Jurisdiction,CMPD,0,2019,05,Aggravated Assault-Other Weapon,90
349,CMPD Jurisdiction,CMPD,0,2019,04,Aggravated Assault-Knife,39
350,CMPD Jurisdiction,CMPD,0,2019,07,Aggravated Assault-Gun,277
